Timestamp,Log Level,Message
"2024-12-28 11:09:56,051",INFO,Successfully fetched drinks starting with 'V'.
"2024-12-28 11:09:56,052",INFO,Fetching drinks starting with 'W':
"2024-12-28 11:09:56,052",INFO,Sending request for letter 'W'.
"2024-12-28 11:09:56,138",INFO,Successfully fetched drinks starting with 'W'.
"2024-12-28 11:09:56,138",INFO,Fetching drinks starting with 'X':
"2024-12-28 11:09:56,138",INFO,Sending request for letter 'X'.
"2024-12-28 11:09:56,200",INFO,Successfully fetched drinks starting with 'X'.
"2024-12-28 11:09:56,200",WARNING,No drinks found for letter 'X'.
"2024-12-28 11:09:56,200",INFO,Fetching drinks starting with 'Y':
"2024-12-28 11:09:56,201",INFO,Sending request for letter 'Y'.
"2024-12-28 11:09:56,269",INFO,Successfully fetched drinks starting with 'Y'.
"2024-12-28 11:09:56,270",INFO,Fetching drinks starting with 'Z':
"2024-12-28 11:09:56,270",INFO,Sending request for letter 'Z'.
"2024-12-28 11:09:56,340",INFO,Successfully fetched drinks starting with 'Z'.
"2024-12-28 11:09:56,357",INFO,Data successfully saved to RawFiles/cocktails.csv.
"2024-12-28 11:09:56,357",INFO,Data fetching and saving complete.
