idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified,ENH_Measure1a,ENH_Measure1b,ENH_Measure1c,ENH_Measure1d,ENH_Measure1e
11023,Almeria,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","En una coctelera llena hasta la mitad con cubitos de hielo, mezcle todos los ingredientes. Agitar bien. Colar en una copa de cóctel.","In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.","Dans un shaker à moitié rempli de glaçons, mélanger tous les ingrédients. Bien agiter. Filtrer dans un verre à cocktail.","In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Agitare bene.Filtrare in un bicchiere da cocktail.",,,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1 ,,,,,,,,,,,,,,,N,2017-01-02 20:16:21,2,oz,,,
17835,Abilene,,,,Ordinary Drink,,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Vierta todos los ingredientes en un vaso highball casi lleno de cubitos de hielo. Remover bien.,Alle Zutaten in ein fast mit Eiswürfeln gefülltes Longdrinkglas füllen. Gut umrühren.,Verser tous les ingrédients dans un verre highball presque rempli de glaçons. Bien mélanger.,Versare tutti gli ingredienti in un bicchiere highball riempito di cubetti di ghiaccio. Mescolare bene.,,,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz ,,,,,,,,,,,,,,,Y,2016-04-29 09:44:25,1,1/2,oz,,
17228,Addison,,,,Cocktail,,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Agite todos los ingredientes y cuélelos en un vaso frío.,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,Secouer tous les ingrédients et filtrer dans un verre froid.,Shakerare insieme tutti gli ingredienti e filtrare in un bicchiere freddo.,,,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,,,,N,2017-09-07 22:38:20,1,1/2,shot,,
17180,Aviation,,"IBA,Classic",https://www.youtube.com/watch?v=oOHH0GGglyM,Cocktail,Unforgettables,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Añada todos los ingredientes en una coctelera llena de hielo. Agitar bien y colar en una copa de cóctel. Decorar con una cereza.,Alle Zutaten in den mit Eis gefüllten Cocktailshaker geben. Gut schütteln und in ein Cocktailglas abseihen. Mit einer Kirsche garnieren.,Ajouter tous les ingrédients dans un shaker rempli de glace. Bien agiter et filtrer dans un verre à cocktail. Garnir d'une cerise.,"Aggiungi tutti gli ingredienti in uno shaker pieno di ghiaccio.
Shakerare bene e filtrare in una coppetta da cocktail.
Guarnire con una ciliegia.",,,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,https://www.flickr.com/photos/mstyne/27859363080/in/dateposted/,Michael Styne https://www.flickr.com/photos/mstyne/,Y,2016-11-04 09:55:28,4.5,cl,,,
11046,Applecar,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Agitar todos los ingredientes con hielo, colar en una copa de cóctel y servir.","Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.","Secouer tous les ingrédients avec de la glace, filtrer dans un verre à cocktail et servir.","Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple sec,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,,,N,2017-09-02 23:02:44,1,oz,,,
17840,Affinity,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","En un vaso mezclador lleno hasta la mitad con cubitos de hielo, mezcle todos los ingredientes. Remover bien. Colar en una copa de cóctel.","In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.","Dans un verre à mélange à moitié rempli de glaçons, mélanger tous les ingrédients. Bien mélanger. Filtrer dans un verre à cocktail.","In un mixing glass riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti. Filtrare in un bicchiere da cocktail. Mescolare bene.",,,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,,,,Y,2017-09-07 21:44:05,1,1/2,oz,,
17836,Acapulco,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Mezclar y agitar todos los ingredientes (excepto la menta) con hielo y colar en un vaso old-fashioned sobre cubitos de hielo. Añada la ramita de menta y sirva.,Alle Zutaten (außer Minze) mit Eis mischen und schütteln und in ein old-fashioned Glas über Eiswürfel abseihen. Den Minzzweig dazugeben und servieren.,Mélanger et secouer tous les ingrédients (sauf la menthe) avec de la glace et filtrer dans un verre à l'ancienne sur des glaçons. Ajouter le brin de menthe et servir.,Unire e scuotere tutti gli ingredienti (tranne la menta) con ghiaccio e filtrare in un bicchiere vecchio stile su cubetti di ghiaccio.Aggiungere il rametto di menta e servire.,,,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 ,,,,,,,,,,,,Y,2016-09-02 11:26:16,1,1/2,oz,,
11014,Alexander,,"IBA,Classic,Dairy",https://www.youtube.com/watch?v=qEhRK_v2w2g,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Agite todos los ingredientes con hielo y cuele el contenido en una copa de cóctel. Espolvorear nuez moscada por encima y servir.,Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.,Secouer tous les ingrédients avec de la glace et filtrer le contenu dans un verre à cocktail. Saupoudrer de noix de muscade et servir.,Shakerare tutti gli ingredienti con ghiaccio e filtrare il contenuto in un bicchiere da cocktail. Cospargere di noce moscata e servire.,,,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,https://www.pxfuel.com/en/free-photo-expqp,pxfuel.com,Y,2016-11-04 09:50:39,1/2,oz,,,
16419,Avalanche,,,,Shake,,Alcoholic,Highball glass,"Mix in highball glass over ice, shake well.",Mezclar en un vaso highball con hielo y agitar bien.,"In Highball-Glas über Eis mischen, gut schütteln.","Mélanger dans un verre highball avec de la glace, bien secouer.","Mescolare in un bicchiere highball con ghiaccio, agitare bene.",,,https://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg,Crown Royal,Kahlua,Cream,,,,,,,,,,,,,1 shot ,1 shot ,Fill with ,,,,,,,,,,,,,,,N,2016-09-01 09:56:05,1,shot,,,
11021,Allegheny,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Agitar todos los ingredientes (excepto la piel de limón) con hielo y colar en una copa de cóctel. Añadir el twist de piel de limón y servir.,Alle Zutaten (außer Zitronenschale) mit Eis schütteln und in ein Cocktailglas abseihen. Mit der Drehung der Zitronenschale garnieren und servieren.,Secouer tous les ingrédients (sauf le zeste de citron) avec de la glace et filtrer dans un verre à cocktail. Ajoutez le zeste de citron et servez.,Shakerare tutti gli ingredienti (tranne la buccia di limone) con ghiaccio e filtrare in una coppetta da cocktail.Completare con la scorza di limone e servire.,,,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,,,N,2017-01-02 20:12:14,1,oz,,,
15941,Americano,,"IBA,Classic",https://www.youtube.com/watch?v=TmeUJ2g3ogM,Ordinary Drink,Unforgettables,Alcoholic,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.","Vierta el Campari y el vermut sobre hielo en un vaso, añada un chorrito de soda y decore con media rodaja de naranja.","Den Campari und den Wermut über Eis in ein Glas gießen, einen Spritzer Sodawasser hinzufügen und mit einer halben Orangenscheibe garnieren.","Verser le Campari et le vermouth sur de la glace dans un verre, ajouter un filet d'eau gazeuse et décorer avec une demi-tranche d'orange.","Versare Campari e vermut su ghiaccio in un bicchiere, aggiungere un goccio di acqua di seltz e guarnire con mezza fetta d'arancia.",,,https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,,,,,,,1 oz ,1 oz red ,Twist of ,Twist of ,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Martini_Americano.jpg,Author - Cher37 https://commons.wikimedia.org/wiki/File:Martini_Americano.jpg,Y,2016-11-04 09:52:06,1,oz,,,
11020,Algonquin,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","Mezclar y agitar todos los ingredientes con hielo, colar el contenido en una copa de cóctel y servir.","Alle Zutaten mit Eis mischen und schütteln, Inhalt in ein Cocktailglas abseihen und servieren.","Mélanger et secouer tous les ingrédients avec de la glace, filtrer le contenu dans un verre à cocktail et servir.","Unire e scuotere tutti gli ingredienti con ghiaccio, filtrare il contenuto in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,,,,,N,2017-01-02 20:11:13,1,1/2,oz,,
11055,Artillery,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","Remover todos los ingredientes con hielo, colar en una copa de cóctel y servir.","Alle Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.","Mélanger tous les ingrédients avec de la glace, filtrer dans un verre à cocktail et servir.","Mescolare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Sweet Vermouth,Gin,Bitters,,,,,,,,,,,,,1 1/2 tsp ,1 1/2 oz ,2 dashes ,,,,,,,,,,,,,,,N,2017-04-24 22:02:27,1,1/2,tsp,,
12560,Afterglow,,,,Cocktail,,Non alcoholic,Highball Glass,Mix. Serve over ice.,Mezclar. Servir con hielo.,Mischen. Auf Eis servieren.,Mélanger. Servir sur des glaçons.,Servire con ghiaccio.Mescolare.,,,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts ,,,,,,,,,,,,,,,N,2016-07-18 22:07:32,1,part,,,
17227,Addington,,,,Cocktail,,Alcoholic,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Mezcle ambos vermuts en una coctelera y cuélelos en un vaso frío. Completar con un chorrito de soda.,Mischen Sie beide Wermutarten in einem Shaker und sieben Sie sie in ein kaltes Glas. Mit einem Spritzer Sodawasser auffüllen.,Mélanger les deux vermouths dans un shaker et filtrer dans un verre froid. Compléter avec un filet d'eau gazeuse.,Rabboccare con l'acqua di seltz.Mescolare entrambi i vermut in uno shaker e filtrare in un bicchiere freddo.,,,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,,,,2 shots ,1 shot ,"Top up with
",,,,,,,,,,,,,,,N,2017-09-07 22:15:25,2,shots,,,
15853,B-52,,"IBA,NewEra",,Shot,New Era Drinks,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,,Zutaten in ein Schnapsglas schichten. Mit einem Rührstab servieren.,,"Metti gli ingredienti in un bicchiere da shot a strati.
Servire con una paletta.",,,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,,,,,,1/3 ,1/3 ,1/4 ,,,,,,,,,,,,,,,N,2017-09-02 18:07:51,1/3,,,,
13332,B-53,,,,Shot,,Alcoholic,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52","Ponga el Kahlua, el Sambucca y el Grand Marnier en un vaso de chupito en ese orden. Mejor que el B-52","Schichte die Kahlua, Sambucca und Grand Marnier in dieser Reihenfolge in ein Schnapsglas ein. Besser als B-52","Verser le Kahlua, le Sambucca et le Grand Marnier dans un verre à liqueur dans cet ordre. Meilleur que le B-52","Metti Kahlua, Sambuca e Grand Marnier in un bicchierino in quest'ordine. ",,,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Kahlua,Sambuca,Grand Marnier,,,,,,,,,,,,,1/3 shot ,1/3 shot ,1/3 shot ,,,,,,,,,,,,,,,N,2016-04-28 18:53:43,1/3,shot,,,
17254,Bijou,,,,Cocktail,,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
","Remover en un vaso mezclador con hielo y colar
",In Mischglas mit Eis verrühren und abseihen.,"Mélanger dans un verre à mélange avec de la glace et filtrer
",Mescolare nel mixing glass con ghiaccio e filtrare,,,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,,,,,,1 dash,1 oz,1 oz,1 oz,,,,,,,,,,,,,,N,2017-12-19 18:09:45,1,dash,,,
11149,Boxcar,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","En una coctelera llena hasta la mitad con cubitos de hielo, mezcle todos los ingredientes. Agitar bien. Colar en un vaso sour.","In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Sour Glas abseihen.","Dans un shaker à moitié rempli de glaçons, mélanger tous les ingrédients. Bien agiter. Filtrer dans un verre aigre.","In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Filtrare in un bicchiere sour.Agitare bene.",,,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 tsp ,1 ,,,,,,,,,,,,,N,2017-09-02 16:32:57,1,1/2,oz,,
13222,Big Red,,,,Shot,,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,Vierta los ingredientes en un vaso de chupito de 1 onza.,Zutaten in 1 Schnapsglas gießen.,Verser les ingrédients dans un verre à shot de 1 once,Versare gli ingredienti in un bicchierino da shot.,,,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Irish cream,Goldschlager,,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,,,,,N,2015-09-03 03:41:56,1/2,oz,,,
17195,Bellini,,"ContemporaryClassic,IBA",,Ordinary Drink,Contemporary Classics,Alcoholic,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",Vierta el puré de melocotón en una copa fría y añada el vino espumoso. Remover suavemente.,"Pfirsichpüree in das gekühlte Sektglas gießen, Sekt hinzufügen. Vorsichtig umrühren.","Verser la purée de pêche dans une flûte réfrigérée, ajouter le vin mousseux. Remuer doucement.","Versare la purea di pesche in una flûte fredda, aggiungere lo spumante.
",,,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne,Peach schnapps,,,,,,,,,,,,,,6 oz ,1 oz ,,,,,,,,,,,,,,,,N,2017-09-02 16:52:23,6,oz,,,
